metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
http_reqs,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654616555,5.073000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654616555,1.689000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654616555,1.646000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654616555,0.044000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654616555,5.029000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
checks,1654616555,0.000000,status is 200,,,,,,,,default,,,,,,
errors,1654616555,1.000000,,,,,,,,,default,,,,,,
data_sent,1654616555,80.000000,,,,,,,,,default,,,,,,
data_received,1654616555,0.000000,,,,,,,,,default,,,,,,
iteration_duration,1654616555,7.041406,,,,,,,,,default,,,,,,
iterations,1654616555,1.000000,,,,,,,,,default,,,,,,
http_reqs,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654616555,4.870000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654616555,2.183000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654616555,2.132000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654616555,0.052000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654616555,4.818000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654616555,4.178000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654616555,2.749000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654616555,2.694000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654616555,0.048000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654616555,4.130000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_failed,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_reqs,1654616555,1.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_duration,1654616555,4.333000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_blocked,1654616555,3.702000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_connecting,1654616555,2.585000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_tls_handshaking,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_sending,1654616555,0.043000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_waiting,1654616555,4.290000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
http_req_receiving,1654616555,0.000000,,read: connection reset by peer,1220,false,,GET,http://localhost:3300,,default,,0,,,http://localhost:3300,
